word_id,sense_no,definition_id,definition,part_of_speech
1,0,10,"피하다, 막다",v
2,0,20,"즉각적인, 직접적인",a
3,0,30,"진가를 인정하다, 감사해하다",v
3,1,31,상황이나 문제점을 완전히 인식하다,v
4,0,40,"일행, 무리, 정당",n
5,0,50,"~에 관하여, ~관한",prep
6,0,60,해를 끼치다,v
6,1,61,"피해, 손해",n
7,0,70,"목적, 목표",n
7,1,71,객관적인,a
8,0,80,포유동물,n
9,0,90,"잠재적으로 대단히 중요한, 비판적인",a
10,0,100,"귀한, 값비싼",a
11,0,110,장애물,n
12,0,120,"의뢰, 위탁된 일을 맡은은",n
13,0,130,"해결하다, 다루다",v
14,0,140,"감추다, 숨기다",v
15,0,150,"갈등, 충돌",n
16,0,160,"모으다, 수집하다",v
17,0,170,가축,n
18,0,180,"고도의, 상급의, 선진의",a
19,0,190,"열을 올리고 있는, 열정적인",a
20,0,200,"버려진, 방치된",a
21,0,210,유발하다,v
22,0,220,"주의, 주목, 관심",n
23,0,230,양보,n
23,1,231,할인,n
24,0,240,"나중을 위해 치워두다, 따로 두다",v
25,0,250,대체하다,v
26,0,260,"~해야 하다, ~을 할 의무가 있다",v
27,0,270,"질문, 문의",n
28,0,280,"계획, 제도",n
29,0,290,요새,n
30,0,300,기막히게 멋진,a
31,0,310,"계급, 서열",n
32,0,320,"애쓰다, 고군분투하다",v
32,1,321,"힘든 일, 다툼",n
33,0,330,"생생한, 활발한",a
34,0,340,"폭발적으로 증가하는, 폭발적인",a
34,1,341,"폭발물, 폭발",n
35,0,350,~의 탓이라고 보다,v
35,1,351,"속성, 특징",n
36,0,360,"통제된, 조절된",a
37,0,370,"많은 비용이 드는, 비싼",a
38,0,380,"(곤충이나 쥐 등이) 들끓다, 우글거리다",v
39,0,390,필요로 하다,v
40,0,400,"제한, 규제",n
41,0,410,"구별하다, 식별하다",v
42,0,420,"치명적인, 죽음을 초래하는",a
43,0,430,"효율성, 능률",n
44,0,440,상응하는 것,n
45,0,450,"국내의, 가정용의, 집안의",a
46,0,460,직관적인,a
47,0,470,악화시키다,v
48,0,480,"전환하다, 변환하다",v
49,0,490,"고통받다, 나빠지다",v
49,1,491,"병에 걸리다, 앓다",v
50,0,500,"(예상치 못하게) 맞닥뜨리다, 접하다",v
51,0,510,풍부한,a
52,0,520,평가하다,v
53,0,530,"모이다, 소집하다",v
53,1,531,조립하다,v
54,0,540,"의존하다, 믿다",v
55,0,550,분류하다,v
56,0,560,"열망, 포부",n
57,0,570,"단지, 그저",adv
58,0,580,"줄어들다, 감소되다",v
58,1,581,"감소, 하락",n
59,0,590,할 수 있게 하다,v
60,0,600,~에 상관없이,prep
61,0,610,"끌어들이다, 유혹하다",v
62,0,620,"설립하다, 확립하다",v
63,0,630,"(문제, 위협 등을) 제기하다",v
64,0,640,위협,n
65,0,650,"학생, 눈동자(동공)",n
66,0,660,"밝히다, 드러내다",v
67,0,670,"근절하다, 뿌리뽑다",v
68,0,680,"영감을 주다, 고취시키다",v
69,0,690,대륙,n
70,0,700,동기를 부여하다,v
71,0,710,행동하다,v
72,0,720,"회의적인, 의심 많은",a
73,0,730,"인공적인, 인조의",a
74,0,740,"매료시키다, 마음을 사로잡다",v
75,0,750,"영향, 효과, 결과",n
76,0,760,"손상, 피해",n
76,1,761,손상을 입히다,v
77,0,770,"관리하다, (약을) 투여하다, 집행하다",v
78,0,780,"실행, 관행, 연습",n
79,0,790,"유익한, 이로운",a
80,0,800,"변함없이, 예외 없이",adv
81,0,810,"튼튼한, 탄탄한",a
82,0,820,~하기로 예정된,a
82,1,821,지불 기일이 된,a
83,0,830,밀수하다,v
84,0,840,화석화하다,v
85,0,850,"위험, 위험 요인",n
86,0,860,영구적인,a
87,0,870,"대처하다, 처리하다",v
88,0,880,"파괴하다, 훼손하다",v
89,0,890,"뒤의, 그 이후의",a
90,0,900,지속되다,v
90,1,901,지난,a
91,0,910,"고의적인, 계획적인",a
92,0,920,(불쾌한) 냄새,n
93,0,930,"포식동물, 포식자",n
94,0,940,"밀접하게 관련되다, 뒤엉키다",v
95,0,950,"구하다, 찾다",v
96,0,960,"촉진하다, 홍보하다",v
96,1,961,승진시키다,v
97,0,970,"중대한, 결정적인",a
98,0,980,"피신처, 쉼터",n
98,1,981,"보호하다, 피하다",v
99,0,990,고고학,n
100,0,1000,"토착의, 그 지역 고유의",a
101,0,1010,"자발적인, 자원봉사로 하는",a
102,0,1020,강우량,n
103,0,1030,"소유물, 재산, 건물",n
103,1,1031,"속성, 특징",n
104,0,1040,"회수, 인출, 검색",n
105,0,1050,"특정한, 확신하는",a
106,0,1060,"포착하다, 사로잡다, 생포하다",v
107,0,1070,"부수적인, 자회사의",a
108,0,1080,"(완전히) 떠나다, 유기하다",v
108,1,1081,"(완전히) 그만두다, 포기하다",v
109,0,1090,"진화의, 진화적인",a
110,0,1100,"상, 공로",n
110,1,1101,"수여하다, 상을 주다",v
111,0,1110,서식지,n
112,0,1120,충분한,a
