word_id,entries_idx,pos,gloss
1,0,adj.,기막히게 멋진
2,0,n.,"주의, 주목, 관심"
3,0,v.,유발하다
4,0,v.,"나중을 위해 치워두다, 따로 두다"
5,0,n.,양보
5,1,n.,할인
6,0,v.,대체하다
7,0,v.,"~해야 하다, ~을 할 의무가 있다"
8,0,n.,"질문, 문의"
9,0,n.,요새
10,0,n.,"계획, 제도"
11,0,adj.,"즉각적인, 직접적인"
12,0,v.,"진가를 인정하다, 감사해하다"
12,1,v.,상황이나 문제점을 완전히 인식하다
13,0,n.,"일행, 무리, 정당"
14,0,prep.,"~에 관하여, ~관한"
15,0,v.,해를 끼치다
15,1,n.,"피해, 손해"
16,0,n.,"목적, 목표"
16,1,adj.,객관적인
17,0,n.,포유동물
18,0,adj.,잠재적으로 대단히 중요한
19,0,adj.,"귀한, 값비싼"
20,0,n.,장애물
21,0,n.,"(의뢰, 위탁된 일을 맡은) 위원회"
21,1,v.,"(의뢰, 위탁된 일에 대한) 수수료"
21,2,v.,"(일을) 의뢰하다, (지위 등을) 위임하다"
22,0,v.,"해결하다, 다루다"
23,0,v.,"감추다, 숨기다"
24,0,n.,"갈등, 충돌"
25,0,v.,"모으다, 수집하다"
26,0,n.,가축
27,0,adj.,"고도의, 상급의, 선진의"
28,0,adj.,"열을 올리고 있는, 열정적인"
29,0,adj.,"버려진, 방치된"
30,0,v.,"피하다, 막다"
31,0,n.,"계급, 서열"
32,0,v.,"애쓰다, 고군분투하다"
32,1,n.,"힘든 일, 다툼"
33,0,adj.,"생생한, 활발한"
34,0,adj.,"폭발적으로 증가하는, 폭발적인"
34,1,n.,"폭발물, 폭발"
35,0,v.,~의 탓이라고 보다
35,1,n.,"속성, 특징"
36,0,adj.,"통제된, 조절된"
37,0,adj.,"많은 비용이 드는, 비싼"
38,0,v.,"(곤충이나 쥐 등이) 들끓다, 우글거리다"
39,0,v.,필요로 하다
40,0,n.,"제한, 규제"
41,0,v.,"구별하다, 식별하다"
42,0,adj.,"치명적인, 죽음을 초래하는"
43,0,n.,"효율성, 능률"
44,0,n.,상응하는 것
45,0,adj.,"국내의, 가정용의, 집안의"
46,0,adj.,직관적인
47,0,v.,악화시키다
48,0,v.,"전환하다, 변환하다"
49,0,v.,"고통받다, 나빠지다"
49,1,v.,"병에 걸리다, 앓다"
50,0,v.,"(예상치 못하게) 맞닥뜨리다, 접하다"
51,0,adj.,풍부한
52,0,v.,평가하다
53,0,v.,"모이다, 소집하다"
53,1,v.,조립하다
54,0,v.,"의존하다, 믿다"
55,0,v.,분류하다
56,0,n.,"열망, 포부"
57,0,adv.,"단지, 그저"
58,0,v.,"줄어들다, 감소되다"
58,1,n.,"감소, 하락"
59,0,v.,할 수 있게 하다
59,1,v.,
60,0,prep.,~에 상관없이
61,0,v.,"끌어들이다, 유혹하다"
62,0,v.,"설립하다, 확립하다"
63,0,v.,"(문제, 위협 등을) 제기하다"
64,0,n.,위협
65,0,n.,"학생, 눈동자(동공)"
66,0,v.,"밝히다, 드러내다"
67,0,v.,"근절하다, 뿌리뽑다"
68,0,v.,"영감을 주다, 고취시키다"
69,0,n.,대륙
70,0,v.,동기를 부여하다
71,0,v.,행동하다
72,0,adj.,"회의적인, 의심 많은"
73,0,adj.,"인공적인, 인조의"
74,0,adj.,대단히 흥미로운
75,0,n.,"영향, 효과"
76,0,n.,"손상, 피해"
76,1,v.,손상을 입히다
76,2,v.,"(약을) 투여하다, 집행하다"
78,0,n.,"실행, 관행"
78,1,n.,"연습, 실습"
79,0,adj.,유익한
80,0,adv.,"변함없이, 예외 없이"
81,0,adj.,"튼튼한, 원기왕성한"
82,0,adv.,~하기로 예정 되어 있는
82,1,adj.,지불 기일이 된
83,0,v.,밀수하다
84,0,v.,화석화하다
85,0,n.,"위험, 위험 요인"
86,0,adj.,영구적인
87,0,v.,"대처하다, 처리하다"
88,0,v.,"파괴하다, 훼손하다"
89,0,adj.,"뒤의, 그 이후의"
90,0,v.,지속되다
90,1,adv.,지난
91,0,adj.,"고의적인, 계획적인"
92,0,n.,(불쾌한) 냄새
93,0,n.,"포식동물, 포식자"
94,0,v.,밀접하게 관련되다
95,0,v.,"구하다, 찾다"
96,0,v.,"촉진하다, 홍보하다"
96,1,v.,승진시키다
97,0,adj.,"중대한, 결정적인"
98,0,n.,"피신처, 쉼터"
98,1,v.,"숨기다, 보호하다"
99,0,n.,고고학
100,0,adj.,"토착의, 그 지역 고유의"
101,0,adj.,"자발적인, 자원봉사로 하는"
102,0,n.,강우량
103,0,n.,"소유물, 재산, 건물"
103,1,n.,"속성, 특징"
104,0,n.,"회수, 인출"
105,0,adj.,"특정한, 확신하는"
106,0,v.,"포착하다, 사로잡다"
107,0,adj.,부수적인
108,0,v.,"(완전히) 떠나다, 유기하다"
108,1,v.,"(완전히) 그만두다, 포기하다"
109,0,adj.,"진화의, 진화적인"
110,0,n.,"상, 공로"
110,1,v.,"수여하다, 상을 주다"
111,0,n.,서식지
112,0,adj.,"충분한, 충분히 있는"
113,0,v.,"탈출하다, 벗어나다"
114,0,v.,"허용하다, 허락하다"
114,1,v.,고려하다
115,0,n.,일이 다 벌어진 후에 알게된 일(후회)
116,0,v.,"반대하다, 저항하다"
117,0,adj.,"작정한, 단호한한"
118,0,adj.,취약한
119,0,v.,추정하다다
120,0,v.,신청하다다
120,1,v.,"적용되다, 해당되다"
120,2,v.,"적용하다, 바르다"
151,0,v.,"드러내다, 드러나다"
152,0,n.,"이익, 수당"
152,1,v.,도움이 되다
153,0,v.,당황하게 하다
154,0,n.,"떼, 무리, 사람들"
155,0,adj.,"시민의, 문명의"
156,0,n.,중단
156,1,v.,중단 시키다
157,0,v.,"얻다, 획득하다"
158,0,n.,"사육, 번식"
159,0,v.,"~을 제외하고, ~뿐만 아니라"
160,0,v.,확보하다
160,1,adj.,안심하는
161,0,adj.,장애를 가진
