id,unit,term
1,1,fabulous
2,1,attention
3,1,evoke
4,1,set aside
5,1,concession
6,1,replace
7,1,ought
8,1,query
9,1,fort
10,1,scheme
11,1,immediate
12,1,appreciate
13,1,party
14,1,regarding
15,1,harm
16,1,objective
17,1,mammal
18,1,critical
19,1,precious
20,1,obstacle
21,1,commission
22,1,tackle
23,1,conceal
24,1,conflict
25,1,gather
26,1,livestock
27,1,advanced
28,1,keen
29,1,derelict
30,1,avert
31,2,hierarchy
32,2,struggle
33,2,vivid
34,2,explosive
35,2,attribute
36,2,controlled
37,2,costly
38,2,infest
39,2,require
40,2,restriction
41,2,distinguish
42,2,fatal
43,2,efficiency
44,2,equivalent
45,2,domestic
46,2,intuitive
47,2,aggravate
48,2,convert
49,2,suffer
50,2,encounter
51,2,abundant
52,2,assess
53,2,assemble
54,2,rely
55,2,classify
56,2,aspiration
57,2,merely
58,2,decline
59,2,enable
60,2,regardless of
61,3,entice
62,3,establish
63,3,pose
64,3,threat
65,3,pupil
66,3,reveal
67,3,eradicate
68,3,inspire
69,3,continent
70,3,motivate
71,3,behave
72,3,skeptical
73,3,artificial
74,3,fascinate
75,3,effect
76,3,damage
77,3,administer
78,3,practice
79,3,beneficial
80,3,invariably
81,3,robust
82,3,due
83,3,smuggle
84,3,fossilize
85,3,risk
86,3,permanent
87,3,cope with
88,3,destroy
89,3,subsequent
90,3,last
91,4,deliberate
92,4,odour
93,4,predator
94,4,intertwine
95,4,seek
96,4,promote
97,4,crucial
98,4,shelter
99,4,archaeology
100,4,indigenous
101,4,voluntary
102,4,rainfall
103,4,property
104,4,retrieval
105,4,certain
106,4,capture
107,4,subsidiary
108,4,abandon
109,4,evolutionary
110,4,award
111,4,habitat
112,4,sufficient
113,4,escape
114,4,allow
115,4,hindsight
116,4,oppose
117,4,determined
118,4,vulnerable
119,4,presume
120,4,apply
121,5,ascent
122,5,extensive
123,5,infant
124,5,rewarding
125,5,foster
126,5,numerous
127,5,rate
128,5,hypothesis
129,5,principle
130,5,distinct from
131,5,no longer
132,5,maintenance
133,5,retain
134,5,judge
135,5,compose
136,5,accompany
