cherry@rhombus:~$ ps -ef
UID          PID    PPID  C STIME TTY          TIME CMD
nobody         1       0  0 Mar02 ?        ***REDACTED_IP*** /sbin/init splash
nobody         2       0  0 Mar02 ?        ***REDACTED_IP*** [kthreadd]
nobody         3       2  0 Mar02 ?        ***REDACTED_IP*** [pool_workqueue_release]
nobody         4       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-rcu_g]
nobody         5       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-rcu_p]
nobody         6       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-slub_]
nobody         7       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-netns]
nobody        12       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-mm_pe]
nobody        13       2  0 Mar02 ?        ***REDACTED_IP*** [rcu_tasks_kthread]
nobody        14       2  0 Mar02 ?        ***REDACTED_IP*** [rcu_tasks_rude_kthread]
nobody        15       2  0 Mar02 ?        ***REDACTED_IP*** [rcu_tasks_trace_kthread]
nobody        16       2  0 Mar02 ?        ***REDACTED_IP*** [ksoftirqd/0]
nobody        17       2  0 Mar02 ?        ***REDACTED_IP*** [rcu_preempt]
nobody        18       2  0 Mar02 ?        ***REDACTED_IP*** [migration/0]
nobody        19       2  0 Mar02 ?        ***REDACTED_IP*** [idle_inject/0]
nobody        20       2  0 Mar02 ?        ***REDACTED_IP*** [cpuhp/0]
nobody        21       2  0 Mar02 ?        ***REDACTED_IP*** [cpuhp/1]
nobody        22       2  0 Mar02 ?        ***REDACTED_IP*** [idle_inject/1]
nobody        23       2  0 Mar02 ?        ***REDACTED_IP*** [migration/1]
nobody        24       2  0 Mar02 ?        ***REDACTED_IP*** [ksoftirqd/1]
nobody        27       2  0 Mar02 ?        ***REDACTED_IP*** [cpuhp/2]
nobody        28       2  0 Mar02 ?        ***REDACTED_IP*** [idle_inject/2]
nobody        29       2  0 Mar02 ?        ***REDACTED_IP*** [migration/2]
nobody        30       2  0 Mar02 ?        ***REDACTED_IP*** [ksoftirqd/2]
nobody        33       2  0 Mar02 ?        ***REDACTED_IP*** [cpuhp/3]
nobody        34       2  0 Mar02 ?        ***REDACTED_IP*** [idle_inject/3]
nobody        35       2  0 Mar02 ?        ***REDACTED_IP*** [migration/3]
nobody        36       2  0 Mar02 ?        ***REDACTED_IP*** [ksoftirqd/3]
nobody        39       2  0 Mar02 ?        ***REDACTED_IP*** [kdevtmpfs]
nobody        40       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-inet_]
nobody        41       2  0 Mar02 ?        ***REDACTED_IP*** [kauditd]
nobody        43       2  0 Mar02 ?        ***REDACTED_IP*** [khungtaskd]
nobody        45       2  0 Mar02 ?        ***REDACTED_IP*** [oom_reaper]
nobody        47       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-write]
nobody        48       2  0 Mar02 ?        ***REDACTED_IP*** [kcompactd0]
nobody        49       2  0 Mar02 ?        ***REDACTED_IP*** [ksmd]
nobody        50       2  0 Mar02 ?        ***REDACTED_IP*** [khugepaged]
nobody        51       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-kinte]
nobody        52       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-kbloc]
nobody        53       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-blkcg]
nobody        54       2  0 Mar02 ?        ***REDACTED_IP*** [irq/9-acpi]
nobody        57       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-tpm_d]
nobody        58       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-ata_s]
nobody        59       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-md]
nobody        60       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-md_bi]
nobody        61       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-edac-]
nobody        62       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-devfr]
nobody        63       2  0 Mar02 ?        ***REDACTED_IP*** [watchdogd]
nobody        65       2  0 Mar02 ?        ***REDACTED_IP*** [kswapd0]
nobody        66       2  0 Mar02 ?        ***REDACTED_IP*** [ecryptfs-kthread]
nobody        67       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-kthro]
nobody        68       2  0 Mar02 ?        ***REDACTED_IP*** [irq/120-aerdrv]
nobody        69       2  0 Mar02 ?        ***REDACTED_IP*** [irq/120-pcie-dpc]
nobody        70       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-acpi_]
nobody        71       2  0 Mar02 ?        ***REDACTED_IP*** [hwrng]
nobody        72       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-mld]
nobody        73       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-ipv6_]
nobody        80       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-kstrp]
nobody        95       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/R-charg]
nobody       118       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/0:1H-kblockd]
nobody       144       2  0 Mar02 ?        ***REDACTED_IP*** [kworker/1:1H-kblockd]
nobody       148       2  0 Mar02 ?        ***REDACTED_IP*** [scsi_eh_0]
